Time Stamp(s),Records,Resistance (4W) (Ω),
2025-11-13 16:03:47.971080,1,30.0035199,
2025-11-13 16:03:48.382011,2,30.0033431,
2025-11-13 16:03:48.792869,3,30.0034467,
2025-11-13 16:03:49.203370,4,30.0033571,
2025-11-13 16:03:49.614081,5,30.0035229,
2025-11-13 16:03:50.025083,6,30.0036695,
2025-11-13 16:03:50.434531,7,30.0035889,
2025-11-13 16:03:50.844705,8,30.0036857,
2025-11-13 16:03:51.255510,9,30.0036132,
2025-11-13 16:03:51.665440,10,30.0035925,
2025-11-13 16:03:52.075010,11,30.003537,
2025-11-13 16:03:52.486228,12,30.003588,
2025-11-13 16:03:52.898189,13,30.003618,
2025-11-13 16:03:53.314460,14,30.0036102,
2025-11-13 16:03:53.730983,15,30.003539,
2025-11-13 16:03:54.143319,16,30.0034644,
2025-11-13 16:03:54.553635,17,30.0035072,
2025-11-13 16:03:54.964770,18,30.0032856,
2025-11-13 16:03:55.375844,19,30.0034305,
2025-11-13 16:03:55.835753,20,30.0034485,
2025-11-13 16:03:56.246780,21,30.003328,
2025-11-13 16:03:56.656483,22,30.0032782,
2025-11-13 16:03:57.068591,23,30.0032377,
2025-11-13 16:03:57.480029,24,30.0031826,
2025-11-13 16:03:57.891421,25,30.0032086,
2025-11-13 16:03:58.302573,26,30.0031052,
2025-11-13 16:03:58.713193,27,30.0030514,
2025-11-13 16:03:59.123746,28,30.0031111,
2025-11-13 16:03:59.583367,29,30.0030211,
2025-11-13 16:03:59.994665,30,30.0029749,
