Time Stamp(s),Records,DC Voltage (VDC),
2025-11-25 09:48:03.185219,1,4.99817729,
2025-11-25 09:48:03.602873,2,4.99819214,
2025-11-25 09:48:04.012143,3,4.99817982,
2025-11-25 09:48:04.420409,4,4.9981841,
2025-11-25 09:48:04.829364,5,4.99819292,
2025-11-25 09:48:05.239039,6,4.99819029,
2025-11-25 09:48:05.696063,7,4.99821059,
2025-11-25 09:48:06.105948,8,4.99819701,
2025-11-25 09:48:06.514498,9,4.99818481,
2025-11-25 09:48:06.923228,10,4.99818877,
2025-11-25 09:48:07.331305,11,4.99819207,
2025-11-25 09:48:07.740079,12,4.99817288,
2025-11-25 09:48:08.149716,13,4.99819159,
2025-11-25 09:48:08.558048,14,4.99817024,
2025-11-25 09:48:08.967391,15,4.99820522,
2025-11-25 09:48:09.376720,16,4.99817757,
2025-11-25 09:48:09.784726,17,4.99817786,
2025-11-25 09:48:10.194493,18,4.99817766,
2025-11-25 09:48:10.652177,19,4.99820001,
2025-11-25 09:48:11.061708,20,4.99819038,
2025-11-25 09:48:11.470118,21,4.99818341,
2025-11-25 09:48:11.878471,22,4.99820557,
2025-11-25 09:48:12.287322,23,4.9981885,
2025-11-25 09:48:12.696426,24,4.99819884,
2025-11-25 09:48:13.105721,25,4.99818665,
2025-11-25 09:48:13.514101,26,4.99818952,
2025-11-25 09:48:13.923195,27,4.99818342,
2025-11-25 09:48:14.331740,28,4.99819065,
2025-11-25 09:48:14.741351,29,4.99818476,
2025-11-25 09:48:15.149813,30,4.99820598,
2025-11-25 09:48:15.559234,31,4.99818492,
2025-11-25 09:48:15.967514,32,4.9982093,
2025-11-25 09:48:16.378800,33,4.99820125,
2025-11-25 09:48:16.787059,34,4.99820538,
2025-11-25 09:48:17.196189,35,4.99818769,
2025-11-25 09:48:17.605147,36,4.99819846,
2025-11-25 09:48:18.013723,37,4.99819418,
2025-11-25 09:48:18.423212,38,4.99818389,
2025-11-25 09:48:18.834448,39,4.99817465,
2025-11-25 09:48:19.242789,40,4.99818936,
2025-11-25 09:48:19.652182,41,4.99820226,
2025-11-25 09:48:20.060631,42,4.99821017,
2025-11-25 09:48:20.469576,43,4.9982125,
2025-11-25 09:48:20.877846,44,4.9982152,
2025-11-25 09:48:21.287413,45,4.99819746,
2025-11-25 09:48:21.745591,46,4.99819354,
2025-11-25 09:48:22.154123,47,4.99820743,
2025-11-25 09:48:22.563773,48,4.99818211,
2025-11-25 09:48:22.972652,49,4.99820323,
2025-11-25 09:48:23.380525,50,4.99820187,
2025-11-25 09:48:23.789708,51,4.99821743,
2025-11-25 09:48:24.198356,52,4.99821201,
2025-11-25 09:48:24.607592,53,4.99819797,
2025-11-25 09:48:25.016218,54,4.99820023,
2025-11-25 09:48:25.424534,55,4.99819639,
2025-11-25 09:48:25.833666,56,4.99820161,
2025-11-25 09:48:26.242640,57,4.99818999,
2025-11-25 09:48:26.651832,58,4.99817658,
2025-11-25 09:48:27.060669,59,4.99818664,
2025-11-25 09:48:27.468990,60,4.9981972,
2025-11-25 09:48:27.877757,61,4.99818445,
2025-11-25 09:48:28.286246,62,4.9981776,
2025-11-25 09:48:28.695526,63,4.99819041,
2025-11-25 09:48:29.104403,64,4.99818253,
2025-11-25 09:48:29.513589,65,4.99819334,
2025-11-25 09:48:29.970691,66,4.99818932,
2025-11-25 09:48:30.379567,67,4.99819096,
2025-11-25 09:48:30.788535,68,4.99820128,
2025-11-25 09:48:31.197896,69,4.99820358,
2025-11-25 09:48:31.606594,70,4.99819507,
2025-11-25 09:48:32.014683,71,4.99819347,
2025-11-25 09:48:32.424148,72,4.99817575,
2025-11-25 09:48:32.832317,73,4.99819467,
2025-11-25 09:48:33.290621,74,4.99818636,
2025-11-25 09:48:33.699498,75,4.9981993,
2025-11-25 09:48:34.108450,76,4.99822476,
2025-11-25 09:48:34.516907,77,4.99819969,
2025-11-25 09:48:34.926033,78,4.99818674,
2025-11-25 09:48:35.334969,79,4.99821114,
2025-11-25 09:48:35.743607,80,4.99821403,
2025-11-25 09:48:36.152634,81,4.99820434,
2025-11-25 09:48:36.561248,82,4.99820223,
2025-11-25 09:48:36.970192,83,4.99819668,
2025-11-25 09:48:37.378801,84,4.99820571,
2025-11-25 09:48:37.787884,85,4.9982073,
2025-11-25 09:48:38.245177,86,4.99821071,
2025-11-25 09:48:38.655908,87,4.99819438,
2025-11-25 09:48:39.064316,88,4.99821893,
2025-11-25 09:48:39.473633,89,4.99821403,
2025-11-25 09:48:39.883724,90,4.99820764,
2025-11-25 09:48:40.291713,91,4.99821671,
2025-11-25 09:48:40.701573,92,4.99821287,
2025-11-25 09:48:41.109717,93,4.99820206,
2025-11-25 09:48:41.568403,94,4.99819259,
2025-11-25 09:48:41.976962,95,4.99819854,
2025-11-25 09:48:42.385470,96,4.99820774,
2025-11-25 09:48:42.793632,97,4.99821026,
2025-11-25 09:48:43.202547,98,4.99820512,
2025-11-25 09:48:43.612084,99,4.99821454,
2025-11-25 09:48:44.020415,100,4.99820368,
