     Time        Name                        Data        
     30.000637   VT2816_1_Ch1::CurVoltage    60.012793   
     30.000637   VT2816_1_Ch2::CurVoltage    60.008211   
     30.000637   VT2816_1_Ch3::CurVoltage    60.016466   
     30.000637   VT2816_1_Ch4::CurVoltage    60.024036   
     30.000637   VT2816_1_Ch5::CurVoltage    60.021373   
     30.000637   VT2816_1_Ch6::CurVoltage    60.016923   
     30.000637   VT2816_1_Ch7::CurVoltage    60.027495   
     30.000637   VT2816_1_Ch8::CurVoltage    60.019464   
     30.000637   VT2816_1_Ch9::CurVoltage    60.016645   
     30.000637   VT2816_1_Ch10::CurVoltage   60.022675   
     30.000637   VT2816_1_Ch11::CurVoltage   60.018671   
     30.000637   VT2816_1_Ch12::CurVoltage   60.019875   
     30.001337   VT2816_1_Ch1::CurVoltage    60.007157   
     30.001337   VT2816_1_Ch2::CurVoltage    60.000694   
     30.001337   VT2816_1_Ch3::CurVoltage    60.010836   
     30.001337   VT2816_1_Ch4::CurVoltage    60.014647   
     30.001337   VT2816_1_Ch5::CurVoltage    60.015749   
     30.001337   VT2816_1_Ch6::CurVoltage    60.009413   
     30.001337   VT2816_1_Ch7::CurVoltage    60.019991   
     30.001337   VT2816_1_Ch8::CurVoltage    60.015710   
     30.001337   VT2816_1_Ch9::CurVoltage    60.012890   
     30.001337   VT2816_1_Ch10::CurVoltage   60.015166   
     30.001337   VT2816_1_Ch11::CurVoltage   60.011178   
     30.001337   VT2816_1_Ch12::CurVoltage   60.008625   
     30.002437   VT2816_1_Ch1::CurVoltage    60.007157   
     30.002437   VT2816_1_Ch2::CurVoltage    60.002573   
     30.002437   VT2816_1_Ch3::CurVoltage    60.010836   
     30.002437   VT2816_1_Ch4::CurVoltage    60.016525   
     30.002437   VT2816_1_Ch5::CurVoltage    60.017623   
     30.002437   VT2816_1_Ch6::CurVoltage    60.011290   
     30.002437   VT2816_1_Ch7::CurVoltage    60.019991   
     30.002437   VT2816_1_Ch8::CurVoltage    60.015710   
     30.002437   VT2816_1_Ch9::CurVoltage    60.011012   
     30.002437   VT2816_1_Ch10::CurVoltage   60.015166   
     30.002437   VT2816_1_Ch11::CurVoltage   60.011178   
     30.002437   VT2816_1_Ch12::CurVoltage   60.012375   
     30.003437   VT2816_1_Ch1::CurVoltage    60.005278   
     30.003437   VT2816_1_Ch2::CurVoltage    60.000694   
     30.003437   VT2816_1_Ch3::CurVoltage    60.008959   
     30.003437   VT2816_1_Ch4::CurVoltage    60.016525   
     30.003437   VT2816_1_Ch5::CurVoltage    60.013874   
     30.003437   VT2816_1_Ch6::CurVoltage    60.009413   
     30.003437   VT2816_1_Ch7::CurVoltage    60.019991   
     30.003437   VT2816_1_Ch8::CurVoltage    60.013834   
     30.003437   VT2816_1_Ch9::CurVoltage    60.011012   
     30.003437   VT2816_1_Ch10::CurVoltage   60.015166   
     30.003437   VT2816_1_Ch11::CurVoltage   60.011178   
     30.003437   VT2816_1_Ch12::CurVoltage   60.012375   
     30.004437   VT2816_1_Ch1::CurVoltage    59.997764   
     30.004437   VT2816_1_Ch2::CurVoltage    59.993177   
     30.004437   VT2816_1_Ch3::CurVoltage    60.005206   
     30.004437   VT2816_1_Ch4::CurVoltage    60.010892   
     30.004437   VT2816_1_Ch5::CurVoltage    60.010124   
     30.004437   VT2816_1_Ch6::CurVoltage    60.003781   
     30.004437   VT2816_1_Ch7::CurVoltage    60.012486   
     30.004437   VT2816_1_Ch8::CurVoltage    60.006326   
     30.004437   VT2816_1_Ch9::CurVoltage    60.003501   
     30.004437   VT2816_1_Ch10::CurVoltage   60.007656   
     30.004437   VT2816_1_Ch11::CurVoltage   60.003686   
     30.004437   VT2816_1_Ch12::CurVoltage   60.006750   
     30.005337   VT2816_1_Ch1::CurVoltage    60.003400   
     30.005337   VT2816_1_Ch2::CurVoltage    60.002573   
     30.005337   VT2816_1_Ch3::CurVoltage    60.010836   
     30.005337   VT2816_1_Ch4::CurVoltage    60.016525   
     30.005337   VT2816_1_Ch5::CurVoltage    60.015749   
     30.005337   VT2816_1_Ch6::CurVoltage    60.009413   
     30.005337   VT2816_1_Ch7::CurVoltage    60.019991   
     30.005337   VT2816_1_Ch8::CurVoltage    60.013834   
     30.005337   VT2816_1_Ch9::CurVoltage    60.011012   
     30.005337   VT2816_1_Ch10::CurVoltage   60.015166   
     30.005337   VT2816_1_Ch11::CurVoltage   60.009305   
     30.005337   VT2816_1_Ch12::CurVoltage   60.010500   
     30.006437   VT2816_1_Ch1::CurVoltage    60.001521   
     30.006437   VT2816_1_Ch2::CurVoltage    59.998814   
     30.006437   VT2816_1_Ch3::CurVoltage    60.008959   
     30.006437   VT2816_1_Ch4::CurVoltage    60.014647   
     30.006437   VT2816_1_Ch5::CurVoltage    60.011999   
     30.006437   VT2816_1_Ch6::CurVoltage    60.007535   
     30.006437   VT2816_1_Ch7::CurVoltage    60.018115   
     30.006437   VT2816_1_Ch8::CurVoltage    60.010080   
     30.006437   VT2816_1_Ch9::CurVoltage    60.009134   
     30.006437   VT2816_1_Ch10::CurVoltage   60.011411   
     30.006437   VT2816_1_Ch11::CurVoltage   60.009305   
     30.006437   VT2816_1_Ch12::CurVoltage   60.008625   
     30.007437   VT2816_1_Ch1::CurVoltage    60.005278   
     30.007437   VT2816_1_Ch2::CurVoltage    60.004452   
     30.007437   VT2816_1_Ch3::CurVoltage    60.012712   
     30.007437   VT2816_1_Ch4::CurVoltage    60.016525   
     30.007437   VT2816_1_Ch5::CurVoltage    60.015749   
     30.007437   VT2816_1_Ch6::CurVoltage    60.015045   
     30.007437   VT2816_1_Ch7::CurVoltage    60.021867   
     30.007437   VT2816_1_Ch8::CurVoltage    60.013834   
     30.007437   VT2816_1_Ch9::CurVoltage    60.012890   
     30.007437   VT2816_1_Ch10::CurVoltage   60.017043   
     30.007437   VT2816_1_Ch11::CurVoltage   60.014925   
     30.007437   VT2816_1_Ch12::CurVoltage   60.012375   
     30.008337   VT2816_1_Ch1::CurVoltage    60.005278   
     30.008337   VT2816_1_Ch2::CurVoltage    60.000694   
     30.008337   VT2816_1_Ch3::CurVoltage    60.008959   
     30.008337   VT2816_1_Ch4::CurVoltage    60.014647   
     30.008337   VT2816_1_Ch5::CurVoltage    60.013874   
     30.008337   VT2816_1_Ch6::CurVoltage    60.009413   
     30.008337   VT2816_1_Ch7::CurVoltage    60.016239   
     30.008337   VT2816_1_Ch8::CurVoltage    60.011957   
     30.008337   VT2816_1_Ch9::CurVoltage    60.009134   
     30.008337   VT2816_1_Ch10::CurVoltage   60.013288   
     30.008337   VT2816_1_Ch11::CurVoltage   60.009305   
     30.008337   VT2816_1_Ch12::CurVoltage   60.010500   
     30.009337   VT2816_1_Ch1::CurVoltage    60.001521   
     30.009337   VT2816_1_Ch2::CurVoltage    59.998814   
     30.009337   VT2816_1_Ch3::CurVoltage    60.007082   
     30.009337   VT2816_1_Ch4::CurVoltage    60.012770   
     30.009337   VT2816_1_Ch5::CurVoltage    60.013874   
     30.009337   VT2816_1_Ch6::CurVoltage    60.007535   
     30.009337   VT2816_1_Ch7::CurVoltage    60.016239   
     30.009337   VT2816_1_Ch8::CurVoltage    60.010080   
     30.009337   VT2816_1_Ch9::CurVoltage    60.009134   
     30.009337   VT2816_1_Ch10::CurVoltage   60.011411   
     30.009337   VT2816_1_Ch11::CurVoltage   60.007432   
     30.009337   VT2816_1_Ch12::CurVoltage   60.008625   
     30.010337   VT2816_1_Ch1::CurVoltage    60.003400   
     30.010337   VT2816_1_Ch2::CurVoltage    59.998814   
     30.010337   VT2816_1_Ch3::CurVoltage    60.010836   
     30.010337   VT2816_1_Ch4::CurVoltage    60.014647   
     30.010337   VT2816_1_Ch5::CurVoltage    60.013874   
     30.010337   VT2816_1_Ch6::CurVoltage    60.009413   
     30.010337   VT2816_1_Ch7::CurVoltage    60.018115   
     30.010337   VT2816_1_Ch8::CurVoltage    60.011957   
     30.010337   VT2816_1_Ch9::CurVoltage    60.009134   
     30.010337   VT2816_1_Ch10::CurVoltage   60.013288   
     30.010337   VT2816_1_Ch11::CurVoltage   60.007432   
     30.010337   VT2816_1_Ch12::CurVoltage   60.008625   
     30.011337   VT2816_1_Ch1::CurVoltage    60.007157   
     30.011337   VT2816_1_Ch2::CurVoltage    60.004452   
     30.011337   VT2816_1_Ch3::CurVoltage    60.014589   
     30.011337   VT2816_1_Ch4::CurVoltage    60.022158   
     30.011337   VT2816_1_Ch5::CurVoltage    60.019498   
     30.011337   VT2816_1_Ch6::CurVoltage    60.015045   
     30.011337   VT2816_1_Ch7::CurVoltage    60.023743   
     30.011337   VT2816_1_Ch8::CurVoltage    60.019464   
     30.011337   VT2816_1_Ch9::CurVoltage    60.012890   
     30.011337   VT2816_1_Ch10::CurVoltage   60.018921   
     30.011337   VT2816_1_Ch11::CurVoltage   60.014925   
     30.011337   VT2816_1_Ch12::CurVoltage   60.016125   
     30.012437   VT2816_1_Ch1::CurVoltage    60.005278   
     30.012437   VT2816_1_Ch2::CurVoltage    60.002573   
